Artist	YT_channel	Owner	Confirmed	Accept	Reject	Comments
Filter						
Acid Drinkers						
Maroon 5						
Slipknot	UCOJZ1tna8yj8mAEITPkHNCQ		Yes			
Taylor Swift	UCqECaJ8Gagnn7YCbPEzWH6g		Yes			
God Is An Astronaut						
Four Stroke Baron	UCS0q46Mv9JmKKP4v2FpwMXg	No	Yes			
Russian Circles						
Serj Tankian						
Hollywood Undead						
Agnieszka Chylinska						
Royal Republic	UCi6xHR2FPSGnl0HKMo70onw		Yes			
Deriglasoff						
Shakira						
Gojira	UC34wpCgr3l9cG0RtFdTTS-Q		Yes			
Pelican						
Porcelain Black						
Toska						
Volbeat						
Red Hot Chili Peppers	UCEuOwB9vSL1oPKGNdONB4ig		Yes			
The Creatures						
M.I.A.						
Kvelertak	UCevn3WJiZEdse2quTWPEvvQ		Yes			
Mercyful Fate						
Ellie Goulding	UCt-am4x4ZyeohfgM85qFgdQ		Yes			
Skyharbor						
Type O Negative						
Mötley Crüe						
Bonobo						
Sex Bob-Omb						
Buckethead						
Device						
Berried Alive						
Republika						
Machine Head						
Avenged Sevenfold						
Tunguska Project						
Polaris						
The Rumjacks						
Buckcherry						
Muse						
CloZee						
Pantera						
The Algorithm						
Limp Bizkit	UCCndqRyI-5Zl8Mutlq71ASw		Yes			
Oh Hiroshima						
Dwa Sławy	UCqR8XPrPbjmT5SQKD2dfJdA	No	Yes			
Tides from nebula						
Arcane						
Motörhead						
Mastodon	UCR7Ls5FuT6UKTcsMkcwgCUA		Yes			
Drowning Pool						
Atmosphere						
Lady Gaga	UCNL1ZadSjHpjm4q9j2sVtOA		Yes			
Bassnectar						
P!nk	UCE5yTn9ljzSnC_oMp9Jnckg		Yes			
Dimension						
Ghost						
Mile						
Nocny Kochanek	UCFrvT80GaZd-KY7Ge6lHNjw		Yes			
Jonathan Davis						
Ooah						
Street Sweeper Social Club						
BI•AS						
The Lonely Island	UCCHcEUksSVKsRDH86j77Ntg		Yes			
Prophets Of Rage						
Christina Aguilera	UCgBN6eQyZPnsApiL1QW44Hg		Yes			
Hurrockaine	UCqFmTiCM8TSiFcC_roYUy5A		Yes			
Illusion						
Karma To Burn						
Pain of Salvation						
Pearl Jam						
Loser						
RAU	UC_enGJdar2yiSiK080lXX7Q		Yes			
Clawfinger						
Jelonek						
Knife Party						
If These Trees Could Talk						
Amaranthe						
I Am Waiting for You Last Summer						
Nightwish						
Mudvayne						
Coma						
Marilyn Manson	UCbirjI1K3MGu0-Y1gTBNR5w		Yes			
Myles Kennedy						
Dream Theater						
Rage Against The Machine						
OVERWERK						
Aesop Rock						
Wang Wen						
PANTyRAiD						
Dead by April						
Judas Priest						
ISIS						
TOOL						
Beats Antique						
Enter Shikari						
Maybeshewill						
Led Zeppelin						
Killswitch Engage						
Kultur Shock						
Caravan Palace						
Gorillaz						
NOVA						
edIT						
Rob Zombie	UChWc6ilKdVM1Cz--wGMW_Zg		Yes			
Baroness						
Sister Sin	UCsOOLxax0PUDb3ZdsBkaYoA		Yes			
Kult						
Korn	UC6ly_u2ufiHGpYzC_28-8zw		Yes			
Nujabes						
Long Distance Calling						
Disturbed						
CKY	UCaeXd3x76YYiTdi1VjG6XUQ		Yes			
The Glitch Mob	UCvHzs2C_iK8VLV41JgQPyug		Yes			
Meshuggah						
Transgresja						
Weezer						
Skindred						
Hollywood Vampires						
Steel Panther	UCdbJCOYEJ5Z9hlx2jXX5ulg		Yes			
Champagne Drip						
JAY Z						
Sabaton						
Guns N' Roses						
Kontrust						
Sleep Dealer						
Wolfmother						
Hey						
Creed						
Tremonti						
Stone Sour						
Slash	UC6WCQjfkWnDWvFfw_YDrq5g		Yes			
A Perfect Circle						
Alter Bridge	UCv42RmpB6iwadGz6n818l6w		Yes			
Strachy Na Lachy						
Brian "Head" Welch						
Born Of Osiris						
Flyleaf						
Greta Van Fleet	UCX2_tsfS1lWaNg26UUuWrxA		Yes			
Lacuna Coil						
Cypress Hill						
Soil						
Boogie Belgique						
Radiohead						
ill.gates						
Adam Levine						
Roller Genoa						
Electric Wizard						
HELLYEAH						
Crazy Town						
Pretty Lights						
AWOLNATION						
Love and Death						
Kraddy						
Boreta						
Julie Christmas						
Daft Punk						
Guano Apes						
Them Crooked Vultures						
Dead By Sunrise						
Night Verses						
In Flames						
Unders						
Breaking Benjamin						
Excision						
Leo						
The Offspring						
The Police						
System Of A Down	UC7-YMmnc0ppcWmio8t1WdcA		Yes			
Cilver						
Skrillex						
Powerman 5000	UCmCnjRZ2l-0Aq2DylTAt8og		Yes			
Flogging Molly						
Tycho						
Five Finger Death Punch						
Daron Malakian and Scars On Broadway						
Soundgarden						
End.user						
Iggy Azalea	UCGtjnDLpKGWKU6xtjB0NeKA		Yes			
The One Hundred						
BABYMETAL						
Alice In Chains						
Animals As Leaders						
Ariana Grande	UC9CoOnJkIBMdeijd9qYoT_g		Yes			
Sithu Aye						
Nonpoint						
Hyper						
Dr. Dre						
Butcher Babies	UCnK9PxMozTYs8ELOvgMNKFA	No	Yes			
Faith No More						
Emancipator						
P.O.D.	UCe4LM_eKc9ywRmVuBm5pjQg	No	Yes			
Motionless In White						
Lipali						
Infected Mushroom						
Rainbow						
Linkin Park						
pg.lost						
Bong-Ra						
Godsmack	UCe9rl8k6yymUeVzzXfFGWwA		Yes			
Katy Perry	UCYvmuw-JtVrTZQ-7Y4kd63Q		Yes			
DIAMANTE	UCqh8RdUfSR9lGyasBhM_bjA	No	Yes			
Portishead						
Iron Maiden						
Prop Dylan						
Halestorm						
Billie Eilish	UCiGm_E4ZwYSHV3bcW1pnSeQ		Yes			
In This Moment	UCnK9PxMozTYs8ELOvgMNKFA	No	Yes			
Madonna	UC81VD6eeuLLSfyY_D-N8sVw		Yes			
Die Antwoord	UC6DicDItkLQ7N4ag1JS5mqg		Yes			
Airbourne	UCRRxSTgPUY0q_YToaczc2BQ	No	Yes			
Rammstein	UCYp3rk70ACGXQ4gFAiMr1SQ		Yes			
Mike Shinoda						
AC/DC	UCB0JSO6d5ysH2Mmqz5I9rIw		Yes			
Mouth Of The Architect						
Paramore						
Andy C						
Siq						
Clock Machine						
Danko Jones						
Wayne Static						
Cult Of Luna						
Cunninlynguists						
We Lost The Sea						
Static-X	UC66CQBG8otTeydJKnpZkj-g		Yes			
lostprophets						
Arctic Monkeys						
Eminem	UCfM3zsQsOnfWNUppiycmBuw		Yes			
Fort Minor						
